GCA_016088045.1
GCA_015351875.1
GCA_015351815.1
GCA_015352045.1
GCA_015352055.1
GCA_015352395.1
GCA_015351915.1
GCA_015352285.1
GCA_015352325.1
GCA_015351935.1
GCA_015352195.1
GCA_015351885.1
GCA_015352125.1
GCA_015351925.1
GCA_015352155.1
GCA_015352165.1
GCA_015352235.1
GCA_015352315.1
GCA_015352355.1
GCA_015351855.1
GCA_015352255.1
GCA_002234355.1
GCA_015351825.1
GCA_015351965.1
GCA_015351985.1
GCA_015352035.1
GCA_015352175.1
GCA_015352065.1
GCA_015352115.1
GCA_015352275.1
GCA_015351775.1
GCA_015352015.1
GCA_000770295.1
GCA_016086015.1
GCA_016084435.1
GCA_003071325.1

GCA_002968775.1

GCA_016088575.1
GCA_016084495.1
GCA_016541645.1
GCA_002239885.1
GCA_002249225.1
GCA_002249255.1
GCA_002249265.1
GCA_002249305.1
GCA_002249325.1
GCA_002249385.1
GCA_002249545.1
GCA_002249585.1

GCA_001442575.1









GCA_002136745.1
GCA_002136775.1
GCA_002136965.1
GCA_002137285.1
GCA_002137345.1
GCA_002137525.1
GCA_002137795.1
GCA_002137815.1
GCA_002138115.1
GCA_002138345.1
GCA_002138375.1
GCA_002142995.1
GCA_002143265.1
GCA_002143315.1
GCA_002143395.1
GCA_002143495.1
GCA_002143555.1
GCA_002143655.1
GCA_002143685.1
GCA_002144725.1
GCA_002145055.1
GCA_002184265.1
GCA_003010655.1
GCA_006492385.1
GCA_006493815.1
GCA_008726135.1
GCA_016541385.1
GCA_016538965.1
GCA_016538395.1
GCA_016537775.1
GCA_016536925.1
GCA_016536025.1
GCA_016535945.1
GCA_016535985.1
GCA_016537285.1
GCA_016534985.1
GCA_016534965.1
GCA_016532915.1
GCA_016532805.1
GCA_016532435.1
GCA_016529755.1
GCA_016529835.1
GCA_016529475.1
GCA_016528745.1
GCA_016528635.1
GCA_016527745.1
GCA_016527965.1
GCA_016527755.1
GCA_016527695.1
GCA_016527415.1
GCA_016527275.1
GCA_016526535.1
GCA_016526575.1
GCA_016525835.1
GCA_016525345.1
GCA_016525175.1
GCA_016524885.1
GCA_016524185.1
GCA_016524175.1
GCA_016523715.1
GCA_016523635.1
GCA_016523545.1
GCA_016523355.1
GCA_016522935.1
GCA_016522855.1
GCA_016522785.1
GCA_016522745.1
GCA_016522575.1
GCA_016610425.1
GCA_016522215.1
GCA_016521945.1
GCA_016521875.1
GCA_016521415.1
GCA_016521315.1
GCA_016521225.1
GCA_016520995.1
GCA_016520875.1
GCA_016520895.1
GCA_016520835.1
GCA_016520665.1
GCA_016520505.1
GCA_016520445.1
GCA_016520255.1
GCA_016520025.1
GCA_016519495.1





GCA_016517695.1
GCA_016515365.1
GCA_016515135.1
GCA_002137395.1
GCA_002137895.1
GCA_002138305.1
GCA_002143935.1
GCA_002144755.1
GCA_002145035.1
GCA_002145115.1
GCA_002184605.1
GCA_016515175.1
GCA_016515335.1
GCA_016515315.1
GCA_002761575.1
GCA_003194535.1
GCA_002239735.1
GCA_002249135.1
GCA_002249185.1
GCA_002249245.1
GCA_002249405.1
GCA_002249525.1
GCA_002249605.1
GCA_006494065.1
GCA_002249475.1
GCA_016541665.1
GCA_016539225.1
GCA_016539185.1
GCA_016539195.1
GCA_016538645.1
GCA_016538585.1
GCA_016536865.1
GCA_016536875.1
GCA_016536635.1
GCA_016536685.1
GCA_016536545.1
GCA_016536585.1
GCA_016536355.1
GCA_016536005.1
GCA_016537535.1
GCA_016537345.1
GCA_016537155.1
GCA_016534405.1
GCA_016533185.1
GCA_016533165.1
GCA_016532645.1
